행정동명,area_km2,population,pop_density
상계8동,0.67,21424.0,31976.11940298508
상계9동,0.81,19145.0,23635.8024691358
상계10동,0.8,17798.0,22247.5
상계3.4동,5.05,26936.0,5333.861386138614
상계6.7동,1.11,30629.0,27593.69369369369
중계2.3동,0.9,31663.0,35181.11111111111
공릉1동,1.41,35431.0,25128.36879432624
녹번동,1.79,35332.0,19738.54748603352
불광1동,3.13,,
갈현1동,0.97,,
갈현2동,0.96,,
구산동,1.38,30753.0,22284.782608695656
대조동,0.85,27064.0,31840.0
응암1동,1.2,,
응암2동,0.78,,
신사1동,0.84,,
신사2동,1.0,,
증산동,0.81,15544.0,19190.123456790123
수색동,1.29,21130.0,16379.84496124031
진관동,11.53,53021.0,4598.525585429316
불광2동,1.38,,
응암3동,0.63,,
역촌동,1.16,44826.0,38643.10344827586
천연동,0.97,16425.0,16932.98969072165
홍제1동,1.23,,
홍제2동,1.05,,
홍제3동,0.81,,
홍은1동,1.58,,
홍은2동,2.06,,
남가좌1동,0.51,,
남가좌2동,0.77,,
북가좌1동,0.55,,
북가좌2동,0.84,,
충현동,1.12,19359.0,17284.821428571428
북아현동,0.46,15255.0,33163.043478260865
신촌동,2.63,20388.0,7752.091254752852
신촌동,2.63,4517.0,1717.490494296578
신촌동,2.63,12273.0,4666.539923954373
연희동,3.05,33528.0,10992.7868852459
연희동,3.05,36783.0,12060.0
용강동,0.84,21238.0,25283.333333333336
용강동,0.84,24716.0,29423.809523809527
대흥동,0.88,14187.0,16121.59090909091
대흥동,0.88,12543.0,14253.40909090909
염리동,0.43,16743.0,38937.20930232558
신수동,0.78,22049.0,28267.94871794872
서교동,1.65,23698.0,14362.424242424244
합정동,1.69,15930.0,9426.03550295858
망원1동,1.14,,
망원2동,0.67,,
연남동,0.65,14023.0,21573.846153846152
성산1동,0.8,,
성산2동,2.07,,
상암동,8.4,29249.0,3482.023809523809
도화동,0.62,20483.0,33037.096774193546
서강동,1.45,24306.0,16762.758620689656
서강동,1.45,3804.0,2623.448275862069
공덕동,1.01,35915.0,35559.40594059406
아현동,0.76,29080.0,38263.15789473684
목1동,1.41,29946.0,21238.297872340427
