행정동명,area_km2,bus_cnt,bus_dens,population,bus_per_10k
성북동,2.86,12,4.196,9411.0,12.75103602167676
삼선동,0.92,5,5.435,21796.0,2.2939988988805284
동선동,0.73,0,0.0,14836.0,0.0
종암동,1.46,41,28.082,36683.0,11.176839407900118
석관동,1.73,33,19.075,33074.0,9.977625929733325
번1동,0.66,0,0.0,16175.0,0.0
번2동,0.95,60,63.158,14500.0,41.37931034482759
번3동,1.1,56,50.909,15783.0,35.48121396439207
수유1동,1.67,47,28.144,19464.0,24.14714344430744
수유2동,0.57,18,31.579,20122.0,8.945432859556703
수유3동,0.72,22,30.556,22679.0,9.700604083072443
삼양동,0.91,34,37.363,24422.0,13.921873720416018
삼양동,0.91,34,37.363,26614.0,12.775231081385735
미아동,0.93,37,39.785,20498.0,18.050541516245488
송중동,1.01,41,40.594,27701.0,14.800909714450745
송천동,0.9,13,14.444,22297.0,5.8303807687132805
삼각산동,0.62,16,25.806,30118.0,5.312437744870177
우이동,10.28,34,3.307,19469.0,17.463660177718424
인수동,3.28,41,12.5,28379.0,14.447302582895803
쌍문1동,1.24,0,0.0,,
쌍문2동,0.54,0,0.0,,
쌍문3동,0.5,0,0.0,,
쌍문4동,0.52,0,0.0,,
방학1동,0.69,0,0.0,,
방학2동,0.74,0,0.0,,
방학3동,2.62,0,0.0,,
창1동,0.88,0,0.0,,
창2동,1.05,0,0.0,,
창3동,0.67,0,0.0,,
창4동,0.95,0,0.0,,
창5동,0.7,0,0.0,,
도봉1동,8.72,0,0.0,,
도봉2동,0.83,0,0.0,,
월계1동,1.16,0,0.0,20256.0,0.0
월계2동,1.94,27,13.918,24997.0,10.801296155538664
월계3동,1.17,24,20.513,28034.0,8.561033031319113
공릉2동,6.82,50,7.331,41061.0,12.177004943864008
하계1동,1.55,0,0.0,25893.0,0.0
하계2동,0.51,50,98.039,20305.0,24.62447672986949
중계본동,1.97,20,10.152,22285.0,8.974646623289209
중계1동,0.63,0,0.0,26045.0,0.0
중계4동,1.7,7,4.118,18752.0,3.7329351535836177
상계1동,5.62,0,0.0,36312.0,0.0
상계2동,0.61,14,22.951,18726.0,7.476236249065471
상계5동,1.01,23,22.772,22370.0,10.281627179257937
상계8동,0.67,21,31.343,21424.0,9.802091112770723
상계9동,0.81,26,32.099,19145.0,13.580569339253069
상계10동,0.8,21,26.25,17798.0,11.799078548151478
상계3.4동,5.05,13,2.574,26936.0,4.826254826254826
상계6.7동,1.11,22,19.82,30629.0,7.182735316203598
중계2.3동,0.9,45,50.0,31663.0,14.212171935697818
공릉1동,1.41,0,0.0,35431.0,0.0
녹번동,1.79,11,6.145,35332.0,3.1133250311332503
불광1동,3.13,0,0.0,,
갈현1동,0.97,0,0.0,,
갈현2동,0.96,0,0.0,,
구산동,1.38,36,26.087,30753.0,11.70617500731636
대조동,0.85,26,30.588,27064.0,9.606857818504286
응암1동,1.2,0,0.0,,
응암2동,0.78,0,0.0,,
신사1동,0.84,0,0.0,,
신사2동,1.0,0,0.0,,
증산동,0.81,10,12.346,15544.0,6.433350488934638
수색동,1.29,54,41.86,21130.0,25.55608140085187
진관동,11.53,62,5.377,53021.0,11.693479941909809
불광2동,1.38,0,0.0,,
응암3동,0.63,0,0.0,,
역촌동,1.16,48,41.379,44826.0,10.70807120867354
천연동,0.97,9,9.278,16425.0,5.47945205479452
홍제1동,1.23,0,0.0,,
홍제2동,1.05,0,0.0,,
홍제3동,0.81,0,0.0,,
홍은1동,1.58,0,0.0,,
홍은2동,2.06,0,0.0,,
남가좌1동,0.51,0,0.0,,
남가좌2동,0.77,0,0.0,,
북가좌1동,0.55,0,0.0,,
북가좌2동,0.84,0,0.0,,
충현동,1.12,10,8.929,19359.0,5.165556072111163
북아현동,0.46,25,54.348,15255.0,16.38806948541462
신촌동,2.63,4,1.521,20388.0,1.9619383951343927
신촌동,2.63,4,1.521,4517.0,8.855435023245517
신촌동,2.63,4,1.521,12273.0,3.259186832885195
연희동,3.05,18,5.902,33528.0,5.368647100930565
연희동,3.05,18,5.902,36783.0,4.893564962074872
용강동,0.84,7,8.333,21238.0,3.2959789057350037
용강동,0.84,7,8.333,24716.0,2.8321734908561256
대흥동,0.88,25,28.409,14187.0,17.621766405864523
대흥동,0.88,25,28.409,12543.0,19.9314358606394
염리동,0.43,24,55.814,16743.0,14.334348683031717
신수동,0.78,15,19.231,22049.0,6.8030296158555945
서교동,1.65,45,27.273,23698.0,18.98894421470166
합정동,1.69,25,14.793,15930.0,15.693659761456372
망원1동,1.14,0,0.0,,
망원2동,0.67,0,0.0,,
연남동,0.65,40,61.538,14023.0,28.524566783141974
성산1동,0.8,0,0.0,,
성산2동,2.07,0,0.0,,
상암동,8.4,51,6.071,29249.0,17.436493555335225
도화동,0.62,19,30.645,20483.0,9.275984963140166
서강동,1.45,12,8.276,24306.0,4.937052579609973
서강동,1.45,12,8.276,3804.0,31.54574132492113
공덕동,1.01,19,18.812,35915.0,5.290268689962411
아현동,0.76,9,11.842,29080.0,3.094910591471802
목1동,1.41,16,11.348,29946.0,5.342950644493421
목2동,1.03,20,19.417,28158.0,7.102777185879679
목3동,0.53,8,15.094,20867.0,3.833804571811952
목4동,0.57,16,28.07,23985.0,6.670835939128622
목5동,1.81,22,12.155,40648.0,5.412320409368235
신월1동,0.65,9,13.846,18783.0,4.791566842357451
신월2동,0.61,5,8.197,20560.0,2.431906614785992
신월3동,0.87,6,6.897,13934.0,4.306014066312617
신월4동,0.52,3,5.769,16994.0,1.7653289396257503
신월5동,0.69,17,24.638,13761.0,12.353753360947604
신월6동,0.41,40,97.561,13684.0,29.231218941829876
신월7동,1.19,41,34.454,18083.0,22.673228999612896
신정1동,0.7,0,0.0,19549.0,0.0
신정1동,0.7,0,0.0,17519.0,0.0
신정2동,0.52,31,59.615,18486.0,16.769447149193983
신정2동,0.52,31,59.615,25278.0,12.263628451618008
신정4동,1.01,20,19.802,31345.0,6.38060296698038
신정4동,1.01,20,19.802,19389.0,10.315127133941925
신정3동,2.72,8,2.941,47980.0,1.6673614005835764
신정3동,2.72,8,2.941,15540.0,5.148005148005148
신정6동,0.96,11,11.458,23917.0,4.599239034996027
신정7동,1.21,11,9.091,27874.0,3.946329913180742
염창동,1.74,25,14.368,41115.0,6.0805058980907205
등촌1동,0.64,0,0.0,,
등촌2동,0.92,0,0.0,,
등촌3동,0.79,0,0.0,,
화곡본동,0.98,23,23.469,31985.0,7.190870720650304
화곡2동,0.45,0,0.0,,
화곡3동,0.53,0,0.0,,
화곡4동,0.82,0,0.0,,
화곡6동,1.11,0,0.0,,
화곡8동,0.53,0,0.0,,
가양1동,4.7,0,0.0,12817.0,0.0
가양2동,1.0,0,0.0,18151.0,0.0
가양3동,0.5,0,0.0,,
발산1동,2.94,0,0.0,,
공항동,10.87,42,3.864,28866.0,14.54998960715028
방화1동,1.48,0,0.0,,
방화2동,6.41,0,0.0,,
방화3동,2.55,0,0.0,,
화곡1동,1.12,0,0.0,,
우장산동,1.36,12,8.824,43214.0,2.7768778636552973
신도림동,1.47,35,23.81,35940.0,9.738452977184195
구로1동,1.02,0,0.0,,
구로2동,1.76,0,0.0,,
구로3동,1.02,0,0.0,,
구로4동,0.46,0,0.0,,
구로5동,1.03,0,0.0,,
고척1동,1.16,0,0.0,,
고척2동,1.02,0,0.0,,
개봉2동,0.8,0,0.0,,
개봉3동,0.81,0,0.0,,
오류1동,0.59,0,0.0,,
오류2동,3.2,0,0.0,,
수궁동,2.67,21,7.865,22200.0,9.459459459459458
가리봉동,0.4,54,135.0,8724.0,61.89821182943604
개봉1동,1.31,0,0.0,,
항동,1.4,29,20.714,16029.0,18.09220787322977
가산동,2.52,67,26.587,25148.0,26.642277715921743
독산1동,2.09,0,0.0,,
독산2동,0.6,0,0.0,,
독산3동,0.92,0,0.0,,
독산4동,0.59,0,0.0,,
시흥1동,1.71,0,0.0,,
시흥2동,1.26,0,0.0,,
시흥3동,1.07,0,0.0,,
시흥4동,0.87,0,0.0,,
시흥5동,1.39,0,0.0,,
여의동,8.4,21,2.5,33879.0,6.198530062870804
여의동,8.4,21,2.5,15561.0,13.49527665317139
당산1동,0.75,0,0.0,,
당산2동,1.55,0,0.0,,
양평1동,0.88,0,0.0,,
양평2동,3.0,0,0.0,,
신길1동,0.66,0,0.0,,
신길3동,0.52,0,0.0,,
신길4동,0.38,0,0.0,,
신길5동,0.47,0,0.0,,
신길6동,0.65,0,0.0,,
신길7동,0.64,0,0.0,,
대림1동,0.49,0,0.0,,
대림2동,0.55,0,0.0,,
대림3동,0.95,0,0.0,,
영등포본동,1.02,9,8.824,20421.0,4.407227853680035
영등포동,1.26,2,1.587,31215.0,0.640717603716162
도림동,0.89,24,26.966,17650.0,13.59773371104816
문래동,1.49,7,4.698,31368.0,2.2315735781688346
노량진2동,0.64,0,0.0,,
상도1동,1.51,0,0.0,,
상도2동,0.98,0,0.0,,
상도3동,0.6,0,0.0,,
상도4동,0.75,0,0.0,,
사당1동,0.79,0,0.0,,
사당3동,0.92,0,0.0,,
사당4동,0.38,0,0.0,,
사당5동,0.57,0,0.0,,
대방동,1.55,15,9.677,34053.0,4.404898246850498
신대방1동,0.62,0,0.0,,
신대방2동,1.03,0,0.0,,
흑석동,1.68,36,21.429,29967.0,12.013214535989588
노량진1동,1.58,0,0.0,,
사당2동,2.75,0,0.0,,
보라매동,0.76,29,38.158,23210.0,12.494614390348987
청림동,0.3,23,76.667,14424.0,15.945646145313368
청림동,0.3,23,76.667,4527.0,50.806273470289376
행운동,0.72,11,15.278,28689.0,3.834222175746802
낙성대동,2.27,39,17.181,17495.0,22.29208345241497
중앙동,0.39,19,48.718,15204.0,12.496711391739016
중앙동,0.39,19,48.718,3090.0,61.48867313915858
중앙동,0.39,19,48.718,3581.0,53.057805082379225
중앙동,0.39,19,48.718,3537.0,53.71783997738196
중앙동,0.39,19,48.718,10180.0,18.66404715127701
중앙동,0.39,19,48.718,16648.0,11.412782316194138
중앙동,0.39,19,48.718,42570.0,4.463237021376557
중앙동,0.39,19,48.718,4360.0,43.57798165137615
중앙동,0.39,19,48.718,24090.0,7.887090078870901
중앙동,0.39,19,48.718,11405.0,16.659359929855327
중앙동,0.39,19,48.718,33198.0,5.723236339538527
중앙동,0.39,19,48.718,26782.0,7.094317078634904
중앙동,0.39,19,48.718,25411.0,7.477076856479477
중앙동,0.39,19,48.718,2160.0,87.96296296296296
중앙동,0.39,19,48.718,4165.0,45.61824729891957
중앙동,0.39,19,48.718,6417.0,29.60885148823437
중앙동,0.39,19,48.718,5247.0,36.21116828663998
중앙동,0.39,19,48.718,4630.0,41.036717062634985
중앙동,0.39,19,48.718,9538.0,19.9203187250996
중앙동,0.39,19,48.718,4031.0,47.13470602828082
중앙동,0.39,19,48.718,2962.0,64.14584740040513
중앙동,0.39,19,48.718,3671.0,51.75701443748298
중앙동,0.39,19,48.718,2488.0,76.36655948553054
중앙동,0.39,19,48.718,13518.0,14.055333629235095
중앙동,0.39,19,48.718,8806.0,21.57619804678628
중앙동,0.39,19,48.718,5655.0,33.59858532272325
중앙동,0.39,19,48.718,38048.0,4.993692178301093
중앙동,0.39,19,48.718,10040.0,18.92430278884462
중앙동,0.39,19,48.718,3323.0,57.17724947336744
중앙동,0.39,19,48.718,10562.0,17.989017231584928
중앙동,0.39,19,48.718,3048.0,62.33595800524934
인헌동,1.08,30,27.778,25089.0,11.957431543704413
남현동,3.27,16,4.893,17352.0,9.220839096357768
남현동,3.27,16,4.893,4595.0,34.82045701849837
서원동,0.65,9,13.846,23057.0,3.9033699093550767
신원동,0.55,27,49.091,17437.0,15.484314962436198
서림동,0.99,13,13.131,23343.0,5.569121364006341
신사동,0.64,66,103.125,22112.0,29.84804630969609
신사동,0.64,66,103.125,15212.0,43.38679989481987
신림동,0.54,26,48.148,23041.0,11.284232455188576
난향동,0.8,29,36.25,14525.0,19.965576592082616
조원동,0.67,30,44.776,19626.0,15.285845307245491
대학동,8.3,35,4.217,24684.0,14.179225409171934
은천동,0.78,30,38.462,31644.0,9.480470231323473
성현동,0.68,36,52.941,29501.0,12.202976170299312
청룡동,1.18,11,9.322,36060.0,3.050471436494731
청룡동,1.18,11,9.322,57831.0,1.9020940326122668
난곡동,0.96,20,20.833,24541.0,8.14962715455768
삼성동,2.66,50,18.797,19459.0,25.695051133151757
삼성동,2.66,50,18.797,13178.0,37.94202458643193
삼성동,2.66,50,18.797,29613.0,16.88447641238645
삼성동,2.66,50,18.797,19577.0,25.540174694794917
미성동,1.38,34,24.638,28683.0,11.85371125753931
미성동,1.38,34,24.638,10614.0,32.03316374599586
서초1동,1.42,0,0.0,20212.0,0.0
서초2동,1.24,32,25.806,24771.0,12.91833192039078
서초3동,2.93,52,17.747,31956.0,16.272374514958067
서초4동,0.88,45,51.136,30166.0,14.917456739375456
잠원동,1.76,26,14.773,26653.0,9.754999437211572
반포본동,1.01,17,16.832,227.0,748.8986784140968
반포1동,1.0,27,27.0,33583.0,8.039782032576007
반포2동,1.35,15,11.111,26654.0,5.627673144743754
반포3동,1.28,18,14.062,23950.0,7.515657620041754
반포4동,1.43,32,22.378,18447.0,17.346994091180136
방배본동,0.67,27,40.299,19963.0,13.525021289385364
방배1동,0.7,25,35.714,16397.0,15.246691467951456
방배2동,1.93,31,16.062,17622.0,17.59164680512995
방배3동,2.4,39,16.25,15667.0,24.89308738111955
방배4동,0.98,26,26.531,22674.0,11.466878362882598
양재1동,5.76,23,3.993,40910.0,5.622097286726961
양재2동,7.58,18,2.375,20927.0,8.601328427390454
내곡동,12.68,33,2.603,16737.0,19.716795124574297
내곡동,12.68,33,2.603,18127.0,18.204887736525624
신사동,1.89,66,34.921,22112.0,29.84804630969609
신사동,1.89,66,34.921,15212.0,43.38679989481987
개포3동,1.24,0,0.0,16597.0,0.0
논현1동,1.25,26,20.8,20713.0,12.55250325882296
논현1동,1.25,26,20.8,31108.0,8.357978655008358
논현2동,1.47,26,17.687,20083.0,12.946272967186175
논현2동,1.47,26,17.687,30715.0,8.464919420478594
삼성1동,1.94,0,0.0,12641.0,0.0
