행정동명,평균공시지가,land_price_log
가락동,6634679.8815657925,15.707821128369599
가리봉동,3321684.311409884,15.015982836013874
가산동,2991819.2081031306,14.911392525396353
가양동,3719381.5158546017,15.129068222109739
가회동,5400183.74356039,15.501943722719735
갈월동,7887777.9384424705,15.880825149826574
갈현동,3196332.1903836816,14.977514832744696
강일동,1013585.9173616376,13.829006000803991
개봉동,2825008.119109497,14.85402215056083
개포동,5177821.2429111535,15.459895109409484
개화동,432797.25832376577,12.978026982300594
거여동,4494088.05726841,15.318273548457718
견지동,9600117.699115044,16.077286020852775
경운동,7937688.202247191,15.887132758402583
계동,4927546.358006488,15.410351928923047
고덕동,2509330.438391308,14.735526916421403
고척동,2787953.296625053,14.840818657839037
공덕동,5841005.3668318,15.580413663046128
공릉동,2627858.909186031,14.781680350158931
공평동,16400259.25925926,16.612807762135535
공항동,2890149.2474867804,14.876819047486999
과해동,184296.03399433428,12.124304050171574
관수동,14700854.506742371,16.50341624779312
관철동,28235033.55215172,17.156074124823114
관훈동,13885420.05958292,16.44635000304416
광장동,2915559.8250659,14.885572752080096
광희동1가,8054154.082023764,15.901698675487987
광희동2가,5767905.325443787,15.567819717427353
교남동,9065819.277108436,16.020021886451055
교북동,5039286.432160804,15.432775247544326
구기동,1854247.74078478,14.432990180501786
구로동,3181239.448845041,14.972781756948775
구산동,2702570.236585743,14.809714187661783
구수동,4876990.70764832,15.400039134393086
구의동,4302291.659927214,15.274658615302842
군자동,4089466.281003688,15.223925270392476
궁동,1767471.3473633286,14.385061031574372
궁정동,3388176.25,15.035802650386776
권농동,3892683.8624338624,15.174609673517333
금호동1가,3105268.3619702174,14.94861102062417
금호동2가,3959653.258246178,15.19166727089536
금호동3가,4281816.390243903,15.26988810131953
금호동4가,4202024.155754652,15.251077146983787
길동,4700833.015873016,15.363250501123613
길음동,4231051.541001651,15.257961347729958
낙원동,11173291.698693313,16.22903690815164
남가좌동,3990592.670957874,15.199450567511708
남대문로1가,27024231.57894737,17.11224452437765
남대문로2가,32835490.19607843,17.307020537022602
남대문로3가,25216627.027027026,17.043014177223753
남대문로4가,22607605.51724138,16.933796979174367
남대문로5가,11880497.98115747,16.290408872797656
남산동1가,6628882.962962963,15.706947016614594
남산동2가,4878840.355753196,15.400418322539299
남산동3가,6057800.347222222,15.616857478222846
남영동,12192273.109243697,16.31631303936939
남창동,17531557.801536918,16.67951317488003
남학동,4592053.968253968,15.339838187348477
남현동,4684403.349597785,15.35974932567795
내곡동,1004656.6512820512,13.820157395951963
내발산동,3380413.0555205843,15.033508761589799
내수동,7809227.083333333,15.870816679970014
내자동,8357041.280539175,15.938615128267074
냉천동,4700636.689509752,15.363208736095872
노고산동,7664751.213735938,15.852142742790434
노량진동,5173583.611538317,15.459076354689639
녹번동,3082416.247087605,14.94122466762219
논현동,11630293.312250692,16.269123830473074
누상동,3758483.25449385,15.139526310285005
누하동,5265804.701627486,15.476744721591166
능동,4186227.685208921,15.247310811458341
다동,23792557.454890788,16.984883419787685
답십리동,3446106.0237545683,15.052755752974441
당산동,2796090.1227976508,14.84373297221882
당산동1가,4669568.382352941,15.356577416047271
당산동2가,5149963.585434173,15.454500396001551
당산동3가,5495625.099495888,15.519463079182872
당산동4가,4646258.064516129,15.351572951523336
당산동5가,4881234.243176179,15.400908869400633
당산동6가,4303513.448171653,15.274942560373258
당인동,4276901.243093923,15.268739530528363
당주동,16791676.691729322,16.63639394614221
대림동,3540274.447891951,15.079715092221875
대방동,4026990.476190476,15.208530123166458
대신동,4384424.7734138975,15.293569222742223
대조동,4148166.315226897,15.23817718387942
대치동,12890366.51768612,16.37199088635423
대현동,11793601.227621485,16.283067758301073
대흥동,5807930.937638213,15.574735116691901
도곡동,8916205.409874793,16.003381123721812
도렴동,16594056.84754522,16.62455522825219
도림동,2796679.953658719,14.843943898341033
도봉동,1897944.9964956995,14.456282804899855
도선동,6224567.905294311,15.644014745755447
도원동,5658994.100294985,15.54875689029905
도화동,7252810.584152689,15.796899756364763
독산동,2957870.1256131665,14.899980353221672
돈암동,2221299.1197909503,14.61360322197402
