행정동명,area_km2,subway_cnt,subway_dens,population,subway_per_10k
수유1동,1.67,1,0.599,19464.0,0.5137690094533498
수유2동,0.57,1,1.754,20122.0,0.4969684921975947
수유3동,0.72,0,0.0,22679.0,0.0
삼양동,0.91,3,3.297,24422.0,1.2284006223896486
삼양동,0.91,3,3.297,26614.0,1.1272262718869768
미아동,0.93,2,2.151,20498.0,0.9757049468240804
송중동,1.01,2,1.98,27701.0,0.7219955958268656
송천동,0.9,0,0.0,22297.0,0.0
삼각산동,0.62,0,0.0,30118.0,0.0
우이동,10.28,2,0.195,19469.0,1.0272741281010838
인수동,3.28,0,0.0,28379.0,0.0
쌍문1동,1.24,0,0.0,,
쌍문2동,0.54,0,0.0,,
쌍문3동,0.5,0,0.0,,
쌍문4동,0.52,0,0.0,,
방학1동,0.69,0,0.0,,
방학2동,0.74,0,0.0,,
방학3동,2.62,0,0.0,,
창1동,0.88,0,0.0,,
창2동,1.05,0,0.0,,
창3동,0.67,0,0.0,,
창4동,0.95,0,0.0,,
창5동,0.7,0,0.0,,
도봉1동,8.72,0,0.0,,
도봉2동,0.83,0,0.0,,
월계1동,1.16,0,0.0,20256.0,0.0
월계2동,1.94,1,0.515,24997.0,0.4000480057606913
월계3동,1.17,2,1.709,28034.0,0.7134194192765927
공릉2동,6.82,3,0.44,41061.0,0.7306202966318405
하계1동,1.55,0,0.0,25893.0,0.0
하계2동,0.51,1,1.961,20305.0,0.4924895345973898
중계본동,1.97,3,1.523,22285.0,1.3461969934933813
중계1동,0.63,0,0.0,26045.0,0.0
중계4동,1.7,0,0.0,18752.0,0.0
상계1동,5.62,0,0.0,36312.0,0.0
상계2동,0.61,0,0.0,18726.0,0.0
상계5동,1.01,2,1.98,22370.0,0.8940545373267769
상계8동,0.67,0,0.0,21424.0,0.0
상계9동,0.81,0,0.0,19145.0,0.0
상계10동,0.8,1,1.25,17798.0,0.5618608832453085
상계3.4동,5.05,8,1.584,26936.0,2.97000297000297
상계6.7동,1.11,1,0.901,30629.0,0.3264879689183453
중계2.3동,0.9,1,1.111,31663.0,0.315826043015507
공릉1동,1.41,0,0.0,35431.0,0.0
녹번동,1.79,2,1.117,35332.0,0.5660590965696819
불광1동,3.13,0,0.0,,
갈현1동,0.97,0,0.0,,
갈현2동,0.96,0,0.0,,
구산동,1.38,0,0.0,30753.0,0.0
대조동,0.85,1,1.176,27064.0,0.3694945314809341
응암1동,1.2,0,0.0,,
응암2동,0.78,0,0.0,,
신사1동,0.84,0,0.0,,
신사2동,1.0,0,0.0,,
증산동,0.81,1,1.235,15544.0,0.6433350488934637
수색동,1.29,1,0.775,21130.0,0.473260766682442
진관동,11.53,14,1.214,53021.0,2.6404632126893115
불광2동,1.38,0,0.0,,
응암3동,0.63,0,0.0,,
역촌동,1.16,0,0.0,44826.0,0.0
천연동,0.97,0,0.0,16425.0,0.0
홍제1동,1.23,0,0.0,,
홍제2동,1.05,0,0.0,,
홍제3동,0.81,0,0.0,,
홍은1동,1.58,0,0.0,,
홍은2동,2.06,0,0.0,,
남가좌1동,0.51,0,0.0,,
남가좌2동,0.77,0,0.0,,
북가좌1동,0.55,0,0.0,,
북가좌2동,0.84,0,0.0,,
충현동,1.12,0,0.0,19359.0,0.0
북아현동,0.46,2,4.348,15255.0,1.311045558833169
신촌동,2.63,0,0.0,20388.0,0.0
신촌동,2.63,0,0.0,4517.0,0.0
신촌동,2.63,0,0.0,12273.0,0.0
연희동,3.05,0,0.0,33528.0,0.0
연희동,3.05,0,0.0,36783.0,0.0
용강동,0.84,0,0.0,21238.0,0.0
용강동,0.84,0,0.0,24716.0,0.0
대흥동,0.88,2,2.273,14187.0,1.4097413124691618
대흥동,0.88,2,2.273,12543.0,1.594514868851152
염리동,0.43,1,2.326,16743.0,0.5972645284596548
신수동,0.78,0,0.0,22049.0,0.0
서교동,1.65,0,0.0,23698.0,0.0
합정동,1.69,3,1.775,15930.0,1.8832391713747647
망원1동,1.14,0,0.0,,
망원2동,0.67,0,0.0,,
연남동,0.65,0,0.0,14023.0,0.0
성산1동,0.8,0,0.0,,
성산2동,2.07,0,0.0,,
상암동,8.4,4,0.476,29249.0,1.3675681219870766
도화동,0.62,4,6.452,20483.0,1.952838939608456
서강동,1.45,1,0.69,24306.0,0.411421048300831
서강동,1.45,1,0.69,3804.0,2.6288117770767614
공덕동,1.01,1,0.99,35915.0,0.2784351942085479
아현동,0.76,1,1.316,29080.0,0.343878954607978
목1동,1.41,1,0.709,29946.0,0.3339344152808388
목2동,1.03,1,0.971,28158.0,0.355138859293984
목3동,0.53,0,0.0,20867.0,0.0
목4동,0.57,0,0.0,23985.0,0.0
목5동,1.81,0,0.0,40648.0,0.0
신월1동,0.65,0,0.0,18783.0,0.0
신월2동,0.61,0,0.0,20560.0,0.0
신월3동,0.87,0,0.0,13934.0,0.0
신월4동,0.52,0,0.0,16994.0,0.0
신월5동,0.69,0,0.0,13761.0,0.0
신월6동,0.41,0,0.0,13684.0,0.0
신월7동,1.19,0,0.0,18083.0,0.0
신정1동,0.7,0,0.0,19549.0,0.0
신정1동,0.7,0,0.0,17519.0,0.0
신정2동,0.52,1,1.923,18486.0,0.5409499080385156
신정2동,0.52,1,1.923,25278.0,0.3956009177941292
신정4동,1.01,1,0.99,31345.0,0.319030148349019
신정4동,1.01,1,0.99,19389.0,0.5157563566970963
신정3동,2.72,0,0.0,47980.0,0.0
신정3동,2.72,0,0.0,15540.0,0.0
신정6동,0.96,0,0.0,23917.0,0.0
신정7동,1.21,0,0.0,27874.0,0.0
염창동,1.74,1,0.575,41115.0,0.2432202359236288
등촌1동,0.64,0,0.0,,
등촌2동,0.92,0,0.0,,
등촌3동,0.79,0,0.0,,
화곡본동,0.98,0,0.0,31985.0,0.0
화곡2동,0.45,0,0.0,,
화곡3동,0.53,0,0.0,,
화곡4동,0.82,0,0.0,,
화곡6동,1.11,0,0.0,,
화곡8동,0.53,0,0.0,,
가양1동,4.7,0,0.0,12817.0,0.0
가양2동,1.0,0,0.0,18151.0,0.0
가양3동,0.5,0,0.0,,
발산1동,2.94,0,0.0,,
공항동,10.87,1,0.092,28866.0,0.3464283239797686
방화1동,1.48,0,0.0,,
방화2동,6.41,0,0.0,,
방화3동,2.55,0,0.0,,
화곡1동,1.12,0,0.0,,
우장산동,1.36,1,0.735,43214.0,0.2314064886379414
신도림동,1.47,1,0.68,35940.0,0.2782415136338342
구로1동,1.02,0,0.0,,
구로2동,1.76,0,0.0,,
구로3동,1.02,0,0.0,,
구로4동,0.46,0,0.0,,
구로5동,1.03,0,0.0,,
고척1동,1.16,0,0.0,,
고척2동,1.02,0,0.0,,
개봉2동,0.8,0,0.0,,
개봉3동,0.81,0,0.0,,
오류1동,0.59,0,0.0,,
오류2동,3.2,0,0.0,,
수궁동,2.67,0,0.0,22200.0,0.0
가리봉동,0.4,2,5.0,8724.0,2.2925263640531868
개봉1동,1.31,0,0.0,,
항동,1.4,51,36.429,16029.0,31.81733108740408
가산동,2.52,0,0.0,25148.0,0.0
독산1동,2.09,0,0.0,,
독산2동,0.6,0,0.0,,
독산3동,0.92,0,0.0,,
독산4동,0.59,0,0.0,,
시흥1동,1.71,0,0.0,,
시흥2동,1.26,0,0.0,,
시흥3동,1.07,0,0.0,,
시흥4동,0.87,0,0.0,,
시흥5동,1.39,0,0.0,,
여의동,8.4,2,0.238,33879.0,0.5903361964638861
여의동,8.4,2,0.238,15561.0,1.28526444315918
당산1동,0.75,0,0.0,,
당산2동,1.55,0,0.0,,
양평1동,0.88,0,0.0,,
양평2동,3.0,0,0.0,,
신길1동,0.66,0,0.0,,
신길3동,0.52,0,0.0,,
신길4동,0.38,0,0.0,,
신길5동,0.47,0,0.0,,
신길6동,0.65,0,0.0,,
신길7동,0.64,0,0.0,,
대림1동,0.49,0,0.0,,
대림2동,0.55,0,0.0,,
대림3동,0.95,0,0.0,,
영등포본동,1.02,1,0.98,20421.0,0.4896919837422261
영등포동,1.26,0,0.0,31215.0,0.0
도림동,0.89,3,3.371,17650.0,1.69971671388102
문래동,1.49,0,0.0,31368.0,0.0
노량진2동,0.64,0,0.0,,
상도1동,1.51,0,0.0,,
상도2동,0.98,0,0.0,,
상도3동,0.6,0,0.0,,
상도4동,0.75,0,0.0,,
사당1동,0.79,0,0.0,,
사당3동,0.92,0,0.0,,
사당4동,0.38,0,0.0,,
사당5동,0.57,0,0.0,,
대방동,1.55,0,0.0,34053.0,0.0
신대방1동,0.62,0,0.0,,
신대방2동,1.03,0,0.0,,
흑석동,1.68,1,0.595,29967.0,0.3337004037774885
노량진1동,1.58,0,0.0,,
사당2동,2.75,0,0.0,,
보라매동,0.76,0,0.0,23210.0,0.0
청림동,0.3,0,0.0,14424.0,0.0
청림동,0.3,0,0.0,4527.0,0.0
행운동,0.72,0,0.0,28689.0,0.0
낙성대동,2.27,0,0.0,17495.0,0.0
중앙동,0.39,0,0.0,15204.0,0.0
중앙동,0.39,0,0.0,3090.0,0.0
중앙동,0.39,0,0.0,3581.0,0.0
중앙동,0.39,0,0.0,3537.0,0.0
중앙동,0.39,0,0.0,10180.0,0.0
중앙동,0.39,0,0.0,16648.0,0.0
중앙동,0.39,0,0.0,42570.0,0.0
중앙동,0.39,0,0.0,4360.0,0.0
중앙동,0.39,0,0.0,24090.0,0.0
중앙동,0.39,0,0.0,11405.0,0.0
중앙동,0.39,0,0.0,33198.0,0.0
중앙동,0.39,0,0.0,26782.0,0.0
중앙동,0.39,0,0.0,25411.0,0.0
중앙동,0.39,0,0.0,2160.0,0.0
중앙동,0.39,0,0.0,4165.0,0.0
중앙동,0.39,0,0.0,6417.0,0.0
중앙동,0.39,0,0.0,5247.0,0.0
중앙동,0.39,0,0.0,4630.0,0.0
중앙동,0.39,0,0.0,9538.0,0.0
중앙동,0.39,0,0.0,4031.0,0.0
중앙동,0.39,0,0.0,2962.0,0.0
중앙동,0.39,0,0.0,3671.0,0.0
중앙동,0.39,0,0.0,2488.0,0.0
중앙동,0.39,0,0.0,13518.0,0.0
중앙동,0.39,0,0.0,8806.0,0.0
중앙동,0.39,0,0.0,5655.0,0.0
중앙동,0.39,0,0.0,38048.0,0.0
중앙동,0.39,0,0.0,10040.0,0.0
중앙동,0.39,0,0.0,3323.0,0.0
중앙동,0.39,0,0.0,10562.0,0.0
중앙동,0.39,0,0.0,3048.0,0.0
인헌동,1.08,2,1.852,25089.0,0.7971621029136274
남현동,3.27,6,1.835,17352.0,3.457814661134163
남현동,3.27,6,1.835,4595.0,13.057671381936888
서원동,0.65,1,1.538,23057.0,0.4337077677061196
신원동,0.55,2,3.636,17437.0,1.1469862935137924
신원동,0.55,60,109.091,17437.0,34.409588805413776
서림동,0.99,0,0.0,23343.0,0.0
신사동,0.64,1,1.562,22112.0,0.4522431259044863
신사동,0.64,1,1.562,15212.0,0.6573757559821193
신림동,0.54,2,3.704,23041.0,0.8680178811683521
난향동,0.8,0,0.0,14525.0,0.0
조원동,0.67,2,2.985,19626.0,1.0190563538163662
대학동,8.3,1,0.12,24684.0,0.4051207259763409
은천동,0.78,2,2.564,31644.0,0.6320313487548982
성현동,0.68,0,0.0,29501.0,0.0
청룡동,1.18,0,0.0,36060.0,0.0
청룡동,1.18,0,0.0,57831.0,0.0
난곡동,0.96,0,0.0,24541.0,0.0
삼성동,2.66,4,1.504,19459.0,2.05560409065214
삼성동,2.66,4,1.504,13178.0,3.035361966914554
삼성동,2.66,4,1.504,29613.0,1.350758112990916
삼성동,2.66,4,1.504,19577.0,2.043213975583593
삼성동,2.66,1,0.376,19459.0,0.5139010226630351
삼성동,2.66,1,0.376,13178.0,0.7588404917286385
삼성동,2.66,1,0.376,29613.0,0.337689528247729
삼성동,2.66,1,0.376,19577.0,0.5108034938958983
미성동,1.38,0,0.0,28683.0,0.0
미성동,1.38,0,0.0,10614.0,0.0
서초1동,1.42,0,0.0,20212.0,0.0
서초2동,1.24,0,0.0,24771.0,0.0
서초3동,2.93,2,0.683,31956.0,0.6258605582676179
서초4동,0.88,2,2.273,30166.0,0.6629980773055758
잠원동,1.76,5,2.841,26653.0,1.8759614302329943
반포본동,1.01,2,1.98,227.0,88.10572687224669
반포1동,1.0,5,5.0,33583.0,1.4888485245511125
반포2동,1.35,1,0.741,26654.0,0.3751782096495835
반포3동,1.28,1,0.781,23950.0,0.4175365344467641
반포4동,1.43,2,1.399,18447.0,1.0841871306987585
방배본동,0.67,0,0.0,19963.0,0.0
방배1동,0.7,2,2.857,16397.0,1.2197353174361163
방배2동,1.93,0,0.0,17622.0,0.0
방배3동,2.4,0,0.0,15667.0,0.0
방배4동,0.98,1,1.02,22674.0,0.4410337831877922
양재1동,5.76,0,0.0,40910.0,0.0
양재2동,7.58,0,0.0,20927.0,0.0
내곡동,12.68,1,0.079,16737.0,0.5974786401386151
내곡동,12.68,1,0.079,18127.0,0.5516632647432007
신사동,1.89,1,0.529,22112.0,0.4522431259044863
신사동,1.89,1,0.529,15212.0,0.6573757559821193
개포3동,1.24,0,0.0,16597.0,0.0
논현1동,1.25,4,3.2,20713.0,1.931154347511225
논현1동,1.25,4,3.2,31108.0,1.2858428700012858
논현2동,1.47,2,1.361,20083.0,0.9958671513220136
논현2동,1.47,2,1.361,30715.0,0.6511476477291226
삼성1동,1.94,0,0.0,12641.0,0.0
삼성2동,1.24,6,4.839,30258.0,1.98294665873488
대치1동,0.79,0,0.0,23840.0,0.0
대치2동,2.0,0,0.0,38075.0,0.0
대치4동,0.73,0,0.0,18095.0,0.0
역삼1동,2.35,5,2.128,34213.0,1.4614327887060474
역삼2동,1.15,0,0.0,36121.0,0.0
도곡1동,1.02,0,0.0,20601.0,0.0
도곡2동,1.02,2,1.961,32244.0,0.6202704379109292
개포1동,1.27,0,0.0,26683.0,0.0
개포2동,2.51,1,0.398,42249.0,0.2366919927098866
