adm_cd,행정동명,세대당공원면적,세대당공원면적_log,park_area_total,green_ratio,household_cnt,area_km2,area_m2
1120062000,금호4가동,7.51,2.1412419425852827,47831.189999999995,5.694189285714285,6369.0,0.84,840000.0
1120064500,옥수동,0.25,0.2231435513142097,2667.0,0.13747422680412372,10668.0,1.94,1940000.0
1120065000,성수1가제1동,63.76,4.170688128809434,467424.56,,7331.0,,
1120066000,성수1가제2동,0.53,0.4252677354043441,3403.13,,6421.0,,
1120067000,성수2가제1동,0.68,0.5187937934151675,5020.4400000000005,,7383.0,,
1120069000,성수2가제3동,2.95,1.3737155789130306,14708.7,,4986.0,,
1120072000,송정동,0.13,0.1222176327242492,677.69,0.09035866666666667,5213.0,0.75,750000.0
1120079000,용답동,1.02,0.7030975114131134,8041.68,0.34812467532467534,7884.0,2.31,2310000.0
1121571000,화양동,1.535,0.9301936370431464,27878.67,2.403333620689655,18162.0,1.16,1160000.0
1121573000,군자동,0.14,0.131028262406404,1574.8600000000001,0.21281891891891894,11249.0,0.74,740000.0
1121574000,중곡제1동,0.11,0.1043600153242427,951.28,,8648.0,,
1121575000,중곡제2동,0.23,0.2070141693843261,2415.46,,10502.0,,
1121576000,중곡제3동,1.535,0.9301936370431464,12956.935,,8441.0,,
1121577000,중곡제4동,1.535,0.9301936370431464,19941.184999999998,,12991.0,,
1121578000,능동,88.61,4.495466920896128,570382.57,51.8529609090909,6437.0,1.1,1100000.0
1121581000,광장동,1.95,1.0818051703517284,22974.899999999998,0.9612928870292886,11782.0,2.39,2390000.0
1121582000,자양제1동,0.09,0.0861776962410523,1089.8999999999999,,12110.0,,
1121583000,자양제2동,1.2,0.7884573603642702,14346.0,,11955.0,,
1121584000,자양제3동,0.27,0.2390169004704999,2964.8700000000003,,10981.0,,
1121584700,자양제4동,0.15,0.1397619423751587,1694.1,,11294.0,,
1121585000,구의제1동,0.25,0.2231435513142097,3312.25,,13249.0,,
1121586000,구의제2동,0.11,0.1043600153242427,1259.94,,11454.0,,
1121587000,구의제3동,1.535,0.9301936370431464,18482.934999999998,,12041.0,,
1123053600,용신동,1.63,0.9669838461896731,36024.63,2.237554658385093,22101.0,1.61,1610000.0
1123054500,제기동,0.42,0.3506568716131694,5516.7,0.4675169491525423,13135.0,1.18,1180000.0
1123056000,전농제1동,1.535,0.9301936370431464,25355.129999999997,,16518.0,,
1123057000,전농제2동,34.34,3.5650154668915506,255523.94000000003,,7441.0,,
1123060000,답십리제1동,2.19,1.1600209167967532,28349.55,,12945.0,,
1123061000,답십리제2동,12.77,2.6224923127405635,160825.38,,12594.0,,
1123065000,장안제1동,1.68,0.9858167945227652,30992.64,,18448.0,,
1123066000,장안제2동,1.34,0.8501509293696101,19755.620000000003,,14743.0,,
1123070500,청량리동,33.13,3.530176762918616,329610.37000000005,27.46753083333334,9949.0,1.2,1200000.0
1123071000,회기동,0.07,0.0676586484738148,464.31000000000006,0.06109342105263158,6633.0,0.76,760000.0
1123072000,휘경제1동,0.21,0.1906203596086497,1562.61,,7441.0,,
1123073000,휘경제2동,0.47,0.3852624007906449,6016.469999999999,,12801.0,,
1123074000,이문제1동,0.25,0.2231435513142097,2941.25,,11765.0,,
1123075000,이문제2동,1.535,0.9301936370431464,12711.335,,8281.0,,
1126052000,면목제2동,0.25,0.2231435513142097,3032.0,,12128.0,,
1126054000,면목제4동,552.28,6.315864202494925,4901485.0,,8875.0,,
1126055000,면목제5동,0.68,0.5187937934151675,4309.84,,6338.0,,
1126056500,면목본동,0.28,0.2468600779315258,4978.400000000001,0.5926666666666667,17780.0,0.84,840000.0
1126057000,면목제7동,0.13,0.1222176327242492,1369.94,,10538.0,,
1126057500,면목제3.8동,274.12,5.617207366124011,3488451.12,,12726.0,,
1126058000,상봉제1동,0.15,0.1397619423751587,1506.75,,10045.0,,
1126059000,상봉제2동,0.28,0.2468600779315258,3696.84,,13203.0,,
1126060000,중화제1동,0.03,0.0295588022415444,263.78999999999996,,8793.0,,
1126061000,중화제2동,0.41,0.3435897043900769,5512.04,,13444.0,,
1126062000,묵제1동,0.49,0.3987761199573678,7308.84,,14916.0,,
1126063000,묵제2동,0.13,0.1222176327242492,1197.43,,9211.0,,
1126065500,망우본동,14.84,2.76253838638628,280565.04,9.259572277227722,18906.0,3.03,3030000.0
