행정동_코드,행정동명,area_km2,집객시설_수,anchor_fac_dens
11290555,삼선동,0.92,2124.0,2308.695652173913
11290575,동선동,0.73,2268.0,3106.849315068493
11290600,안암동,1.33,1854.0,1393.984962406015
11290610,보문동,0.56,342.0,610.7142857142857
11290620,정릉1동,0.44,576.0,1309.090909090909
11290630,정릉2동,1.17,702.0,600.0
11290640,정릉3동,3.71,972.0,261.99460916442047
11290650,정릉4동,3.13,864.0,276.038338658147
11290660,길음1동,0.79,594.0,751.8987341772151
11290685,길음2동,0.58,1152.0,1986.2068965517242
11290705,종암동,1.46,1944.0,1331.5068493150686
11290715,월곡1동,0.81,846.0,1044.4444444444443
11290725,월곡2동,1.36,990.0,727.9411764705882
11290760,장위1동,0.7,810.0,1157.142857142857
11290770,장위2동,0.67,630.0,940.2985074626865
11290780,장위3동,0.65,18.0,27.69230769230769
11290810,석관동,1.73,2070.0,1196.5317919075144
11305534,삼양동,0.91,1278.0,1404.3956043956043
11305535,미아동,0.93,1962.0,2109.6774193548385
11305545,송중동,1.01,1926.0,1906.930693069307
11305555,송천동,0.9,1350.0,1500.0
11305575,삼각산동,0.62,342.0,551.6129032258065
11305595,번1동,0.66,648.0,981.8181818181818
11305603,번2동,0.95,324.0,341.0526315789474
11305608,번3동,1.1,90.0,81.81818181818181
11305615,수유1동,1.67,1692.0,1013.1736526946108
11305625,수유2동,0.57,972.0,1705.2631578947369
11305635,수유3동,0.72,4788.0,6650.0
11305645,우이동,10.28,1260.0,122.56809338521401
11305660,인수동,3.28,1080.0,329.26829268292687
11320511,창1동,0.88,576.0,654.5454545454545
11320512,창2동,1.05,666.0,634.2857142857142
11320513,창3동,0.67,1044.0,1558.2089552238806
11320514,창4동,0.95,306.0,322.10526315789474
11320515,창5동,0.7,1818.0,2597.1428571428573
11320521,도봉1동,8.72,1512.0,173.39449541284404
11320522,도봉2동,0.83,432.0,520.4819277108434
11320660,쌍문1동,1.24,882.0,711.2903225806451
11320670,쌍문2동,0.54,756.0,1400.0
11320680,쌍문3동,0.5,972.0,1944.0
11320681,쌍문4동,0.52,108.0,207.69230769230768
11320690,방학1동,0.69,1710.0,2478.2608695652175
11320700,방학2동,0.74,954.0,1289.1891891891892
11320710,방학3동,2.62,252.0,96.18320610687023
11350560,월계1동,1.16,1440.0,1241.3793103448277
11350570,월계2동,1.94,36.0,18.556701030927837
11350595,공릉1동,1.41,2160.0,1531.9148936170213
11350600,공릉2동,6.82,738.0,108.21114369501466
11350611,하계1동,1.55,324.0,209.03225806451613
11350619,중계본동,1.97,1062.0,539.0862944162436
11350624,중계4동,1.7,792.0,465.88235294117646
11350625,중계2?3동,,882.0,
11350630,상계1동,5.62,1638.0,291.4590747330961
11350640,상계2동,0.61,4752.0,7790.163934426229
11350665,상계3?4동,,738.0,
11350670,상계5동,1.01,1260.0,1247.5247524752476
11350695,상계6?7동,,450.0,
11350710,상계9동,0.81,918.0,1133.3333333333333
11350720,상계10동,0.8,162.0,202.5
11380510,녹번동,1.79,1098.0,613.4078212290502
11380520,불광1동,3.13,2880.0,920.1277955271565
11380530,불광2동,1.38,1314.0,952.1739130434784
11380551,갈현1동,0.97,1746.0,1800.0
11380552,갈현2동,0.96,2160.0,2250.0
11380560,구산동,1.38,1116.0,808.6956521739131
11380570,대조동,0.85,2538.0,2985.8823529411766
11380580,응암1동,1.2,2178.0,1815.0
11380590,응암2동,0.78,486.0,623.0769230769231
11380600,응암3동,0.63,1800.0,2857.1428571428573
11380625,역촌동,1.16,1170.0,1008.6206896551724
11380631,신사1동,0.84,882.0,1050.0
11380632,신사2동,1.0,864.0,864.0
11380640,증산동,0.81,1116.0,1377.7777777777776
11380650,수색동,1.29,108.0,83.72093023255813
11380690,진관동,11.53,738.0,64.0069384215091
11410520,천연동,0.97,666.0,686.5979381443299
11410555,북아현동,0.46,612.0,1330.4347826086955
11410565,충현동,1.12,1314.0,1173.2142857142856
11410585,신촌동,2.63,6120.0,2326.9961977186313
11410615,연희동,3.05,2160.0,708.1967213114755
11410620,홍제1동,1.23,2358.0,1917.0731707317073
11410640,홍제3동,0.81,1080.0,1333.3333333333333
11410660,홍은1동,1.58,378.0,239.2405063291139
11410685,홍은2동,2.06,702.0,340.7766990291262
11410690,남가좌1동,0.51,792.0,1552.9411764705883
11410700,남가좌2동,0.77,1188.0,1542.857142857143
11410710,북가좌1동,0.55,90.0,163.63636363636363
11410720,북가좌2동,0.84,1224.0,1457.142857142857
11440555,아현동,0.76,612.0,805.2631578947369
11440565,공덕동,1.01,1242.0,1229.7029702970297
11440585,도화동,0.62,2520.0,4064.516129032258
11440590,용강동,0.84,1188.0,1414.2857142857144
11440600,대흥동,0.88,540.0,613.6363636363636
11440610,염리동,0.43,630.0,1465.1162790697674
11440630,신수동,0.78,1026.0,1315.3846153846152
11440655,서강동,1.45,1080.0,744.8275862068966
