행정동_코드,행정동명,area_km2,총_매출_금액,매출_밀도
11260660,망우3동,0.92,58330537236,63402757865.21739
11260680,신내1동,2.56,145431950686,56809355736.71875
11260690,신내2동,0.93,132066207579,142006674816.12903
11290525,성북동,2.86,112274279782,39256741182.51749
11290555,삼선동,0.92,243582018561,264763063653.2609
11290575,동선동,0.73,268766139826,368172794282.1918
11290580,돈암1동,0.49,35256718431,71952486593.87755
11290590,돈암2동,0.48,31317004804,65243760008.333336
11290600,안암동,1.33,160003449426,120303345433.0827
11290610,보문동,0.56,57290154265,102303846901.7857
11290620,정릉1동,0.44,43320029634,98454612804.54546
11290630,정릉2동,1.17,58882850660,50327222786.32479
11290640,정릉3동,3.71,46972373497,12661017115.09434
11290650,정릉4동,3.13,89531896756,28604439858.146965
11290660,길음1동,0.79,49735350049,62956139302.53164
11290685,길음2동,0.58,88396455627,152407682115.51724
11290705,종암동,1.46,164141680873,112425808817.12328
11290715,월곡1동,0.81,74879313182,92443596520.98766
11290725,월곡2동,1.36,112951692568,83052715123.5294
11290760,장위1동,0.7,45448382886,64926261265.71429
11290770,장위2동,0.67,55523824660,82871380089.55223
11290780,장위3동,0.65,36500803349,56155082075.38461
11290810,석관동,1.73,168206695253,97229303614.45088
11305534,삼양동,0.91,75545908384,83017481740.65933
11305535,미아동,0.93,184551542032,198442518313.9785
11305545,송중동,1.01,316989521526,313851011411.8812
11305555,송천동,0.9,170504735473,189449706081.1111
11305575,삼각산동,0.62,51398364610,82900588080.64516
11305595,번1동,0.66,251469462873,381014337686.3637
11305603,번2동,0.95,20528672654,21609129109.473686
11305608,번3동,1.1,54440695849,49491541680.90909
11305615,수유1동,1.67,231343081902,138528791558.08383
11305625,수유2동,0.57,101825232636,178640759010.52634
11305635,수유3동,0.72,363972124650,505516839791.6667
11305645,우이동,10.28,124581095775,12118783635.70039
11305660,인수동,3.28,84477163476,25755232767.073174
11320511,창1동,0.88,111439158717,126635407632.95454
11320512,창2동,1.05,82686834315,78749366014.2857
11320513,창3동,0.67,66814198977,99722685040.29852
11320514,창4동,0.95,89810861704,94537749162.10529
11320515,창5동,0.7,235758862663,336798375232.8572
11320521,도봉1동,8.72,187607055178,21514570547.93578
11320522,도봉2동,0.83,48503987491,58438539145.783134
11320660,쌍문1동,1.24,50657262617,40852631142.741936
11320670,쌍문2동,0.54,107235366454,198584011951.85184
11320680,쌍문3동,0.5,124185210045,248370420090.0
11320681,쌍문4동,0.52,57291588350,110176131442.3077
11320690,방학1동,0.69,219194051229,317672538013.0435
11320700,방학2동,0.74,226503963529,306086437201.3514
11320710,방학3동,2.62,56058158895,21396243853.053432
11350560,월계1동,1.16,92846647325,80040213211.20691
11350570,월계2동,1.94,20679345148,10659456261.85567
11350580,월계3동,1.17,33828645880,28913372547.00855
11350595,공릉1동,1.41,256294809674,181769368563.12057
11350600,공릉2동,6.82,163368278185,23954292989.00293
11350611,하계1동,1.55,228569463996,147464170320.0
11350612,하계2동,0.51,11348992108,22252925701.960785
11350619,중계본동,1.97,173112648760,87874440994.92386
11350621,중계1동,0.63,47181022728,74890512266.66667
11350624,중계4동,1.7,174688707054,102758062972.94118
11350625,중계2·3동,,213544625573,
11350630,상계1동,5.62,189308430315,33684774077.40213
11350640,상계2동,0.61,354486979157,581126195339.3442
11350665,상계3·4동,,57625984455,
11350670,상계5동,1.01,94027626893,93096660290.099
11350695,상계6·7동,,413389087280,
11350700,상계8동,0.67,50713468849,75691744550.74626
11350710,상계9동,0.81,79880242300,98617583086.41975
11350720,상계10동,0.8,19724983766,24656229707.5
11380510,녹번동,1.79,182357259402,101875563911.73184
11380520,불광1동,3.13,197258883266,63022007433.22684
11380530,불광2동,1.38,125119312467,90666168454.34784
11380551,갈현1동,0.97,183136244917,188800252491.7526
11380552,갈현2동,0.96,221697655968,230935058300.0
11380560,구산동,1.38,63583554128,46075039223.18841
11380570,대조동,0.85,246333573334,289804203922.35297
11380580,응암1동,1.2,167009944606,139174953838.33334
11380590,응암2동,0.78,67546048194,86597497684.61539
11380600,응암3동,0.63,197041212320,312763829079.36505
11380625,역촌동,1.16,149542059154,128915568236.20692
11380631,신사1동,0.84,93651467481,111489842239.28572
11380632,신사2동,1.0,44210679291,44210679291.0
11380640,증산동,0.81,55201637818,68150170145.67901
11380650,수색동,1.29,24209697119,18767207068.99225
11380690,진관동,11.53,134173393894,11636894526.799654
11410520,천연동,0.97,71174788158,73376070265.97939
11410555,북아현동,0.46,54731592172,118981722113.04349
11410565,충현동,1.12,128993861854,115173090941.0714
11410585,신촌동,2.63,515701376300,196084173498.09888
11410615,연희동,3.05,249749010223,81884921384.59016
11410620,홍제1동,1.23,82461676557,67042013460.97561
11410640,홍제3동,0.81,234086037091,288995107519.75305
11410655,홍제2동,1.05,42664577602,40632931049.52381
11410660,홍은1동,1.58,84658330953,53581222122.15189
11410685,홍은2동,2.06,88082194840,42758347009.70874
11410690,남가좌1동,0.51,86202318394,169024153713.7255
11410700,남가좌2동,0.77,114083801237,148160780827.27274
11410710,북가좌1동,0.55,18034088899,32789252543.63636
11410720,북가좌2동,0.84,167696269228,199638415747.61905
11440555,아현동,0.76,153658836932,202182680173.6842
11440565,공덕동,1.01,194978952586,193048467906.9307
11440585,도화동,0.62,233760656572,377033317051.6129
11440590,용강동,0.84,355666975579,423413066165.4762
11440600,대흥동,0.88,225250677308,255966678759.0909
11440610,염리동,0.43,79269021528,184346561693.02325
11440630,신수동,0.78,63983705023,82030391055.1282
11440655,서강동,1.45,142769842700,98461960482.75862
11440660,서교동,1.65,1453682131390,881019473569.697
11440680,합정동,1.69,276047540380,163341739869.82248
11440690,망원1동,1.14,206743868210,181354270359.64917
11440700,망원2동,0.67,128078916950,191162562611.94028
11440710,연남동,0.65,149475125204,229961731083.0769
11440720,성산1동,0.8,131199445175,163999306468.75
11440730,성산2동,2.07,133658190994,64569174393.23672
11440740,상암동,8.4,315503272850,37559913434.52381
11470510,목1동,1.41,337220046159,239163153304.2553
11470520,목2동,1.03,115648179158,112279785590.29126
11470530,목3동,0.53,148063317448,279364749901.8868
11470540,목4동,0.57,110931006802,194615801407.01755
11470550,목5동,1.81,283812357405,156802407406.07733
11470560,신월1동,0.65,125280865262,192739792710.76923
11470570,신월2동,0.61,61114274751,100187335657.37704
11470580,신월3동,0.87,42106530611,48398311047.126434
11470590,신월4동,0.52,73133061692,140640503253.84616
11470600,신월5동,0.69,63273769590,91701115347.8261
11470610,신월6동,0.41,82601624382,201467376541.46344
11470611,신월7동,1.19,62830461535,52798707172.26891
11470620,신정1동,0.7,137350504715,196215006735.7143
11470630,신정2동,0.52,129625587536,249279976030.76923
11470640,신정3동,2.72,156960562925,57706089310.66176
11470650,신정4동,1.01,330334333571,327063696604.9505
11470670,신정6동,0.96,37867405005,39445213546.875
11470680,신정7동,1.21,169451939227,140042924980.99173
11500510,염창동,1.74,230001877778,132184987228.73564
11500520,등촌1동,0.64,309897162683,484214316692.1875
11500530,등촌2동,0.92,41637188720,45257813826.08695
11500535,등촌3동,0.79,265324867739,335854262960.75946
11500540,화곡1동,1.12,355643567163,317538899252.6785
11500550,화곡2동,0.45,39896735417,88659412037.77777
11500560,화곡3동,0.53,122505784072,231142988815.09436
11500570,화곡4동,0.82,149178856151,181925434330.48785
11500590,화곡본동,0.98,144024098989,146963366315.30612
11500591,화곡6동,1.11,154507885767,139196293483.78378
11500593,화곡8동,0.53,127631014262,240813234456.60376
11500603,가양1동,4.7,451995484035,96169251922.34042
11500604,가양2동,1.0,92265579044,92265579044.0
11500605,가양3동,0.5,48771663209,97543326418.0
11500611,발산1동,2.94,633518501392,215482483466.66663
11500615,우장산동,1.36,120438305883,88557577855.14705
11500620,공항동,10.87,171099377646,15740513122.907084
11500630,방화1동,1.48,256063320677,173015757214.18918
11500640,방화2동,6.41,116001204709,18096911811.076443
11500641,방화3동,2.55,51559454072,20219393753.72549
11530510,신도림동,1.47,132603395690,90206391625.85034
11530520,구로1동,1.02,49732539336,48757391505.88236
11530530,구로2동,1.76,699279669092,397317993802.2727
11530540,구로3동,1.02,615094895800,603034211568.6274
11530550,구로4동,0.46,210603037283,457832689745.65216
11530560,구로5동,1.03,405594057930,393780638766.9903
11530595,가리봉동,0.4,68403215288,171008038220.0
11530720,고척1동,1.16,221261037219,190742273464.6552
11530730,고척2동,1.02,113736413390,111506287637.2549
11530740,개봉1동,1.31,122804534057,93743919127.48093
11530750,개봉2동,0.8,106435831140,133044788925.0
11530760,개봉3동,0.81,73340341885,90543631956.79012
11530770,오류1동,0.59,141954927380,240601571830.50848
11530780,오류2동,3.2,88392748605,27622733939.0625
11530790,수궁동,2.67,51690135747,19359601403.37079
11530800,항동,1.4,563654623,402610445.0
11545510,가산동,2.52,3106657583973,1232800628560.7144
11545610,독산1동,2.09,884526034934,423218198533.0144
11545620,독산2동,0.6,84314447065,140524078441.6667
11545630,독산3동,0.92,150801127895,163914269451.08694
11545640,독산4동,0.59,69992846073,118631942496.61015
11545670,시흥1동,1.71,343141700810,200667661292.39767
11545680,시흥2동,1.26,19432619316,15422713742.857143
11545690,시흥3동,1.07,43855579493,40986522890.654205
11545700,시흥4동,0.87,51289324871,58953246978.16092
11545710,시흥5동,1.39,109689105404,78913025470.5036
11560515,영등포본동,1.02,250940189552,246019793678.43137
11560535,영등포동,1.26,1123241322287,891461366894.4445
11560540,여의동,8.4,1402139296645,166921344838.69046
11560550,당산1동,0.75,584212431579,778949908772.0
11560560,당산2동,1.55,231112711892,149104975414.19354
11560585,도림동,0.89,55733484794,62621893026.96629
11560605,문래동,1.49,630122335695,422900896439.5973
11560610,양평1동,0.88,116224539423,132073340253.40907
11560620,양평2동,3.0,187771596780,62590532260.0
11560630,신길1동,0.66,126285903599,191342278180.303
11560650,신길3동,0.52,82456289780,158569788038.46155
11560660,신길4동,0.38,33099771519,87104661892.10526
11560670,신길5동,0.47,48227492375,102611685904.25533
11560680,신길6동,0.65,136946612533,210687096204.6154
11560690,신길7동,0.64,35495994083,55462490754.6875
11560700,대림1동,0.49,119204093889,243273660997.9592
11560710,대림2동,0.55,162448966665,295361757572.72723
11560720,대림3동,0.95,507042969656,533729441743.1579
11590510,노량진1동,1.58,1340431542692,848374394108.8607
11590520,노량진2동,0.64,3191402852832,4986566957550.0
11590530,상도1동,1.51,239926982589,158892041449.66888
11590540,상도2동,0.98,106470973841,108643850858.16328
11590550,상도3동,0.6,155999403068,259999005113.3333
11590560,상도4동,0.75,84893970075,113191960100.0
11590605,흑석동,1.68,202020682438,120250406213.09525
11590620,사당1동,0.79,261036680792,330426178217.7215
11590630,사당2동,2.75,311112817362,113131933586.18182
11590640,사당3동,0.92,58858396649,63976518096.73913
11590650,사당4동,0.38,88301009535,232371077723.6842
11590651,사당5동,0.57,22167833736,38890936378.94737
11590660,대방동,1.55,226900844998,146387641934.19354
11590670,신대방1동,0.62,75421594770,121647733500.0
11590680,신대방2동,1.03,157356593959,152773392193.2039
11620525,보라매동,0.76,99221129424,130554117663.1579
11620545,청림동,0.3,15231744733,50772482443.333336
11620565,성현동,0.68,42011102928,61781033717.64706
11620575,행운동,0.72,152653957088,212019384844.4445
11620585,낙성대동,2.27,202648361469,89272405933.48018
11620595,청룡동,1.18,288190319064,244229083952.5424
11620605,은천동,0.78,151960478872,194821126758.9744
11620615,중앙동,0.39,149812543275,384134726346.1538
11620625,인헌동,1.08,163211978886,151122202672.2222
11620630,남현동,3.27,115787862106,35409132142.507645
11620645,서원동,0.65,233731489791,359586907370.7692
11620655,신원동,0.55,82821356093,150584283805.45453
11620665,서림동,0.99,57250802582,57829093517.17172
11620685,신사동,0.64,117581509879,183721109185.9375
11620685,신사동,1.89,117581509879,62212439089.41799
11620695,신림동,0.54,269573049440,499209350814.8148
11620715,난향동,0.8,17238766564,21548458205.0
11620725,조원동,0.67,245680421980,366687196985.0746
11620735,대학동,8.3,122381545608,14744764531.084335
11620745,삼성동,2.66,46582655802,17512276617.293232
11620765,미성동,1.38,108390280599,78543681593.47827
11620775,난곡동,0.96,76013932749,79181179946.875
11650510,서초1동,1.42,280272557051,197375040176.76056
11650520,서초2동,1.24,539893915945,435398319310.4839
11650530,서초3동,2.93,781475813798,266715294811.6041
11650531,서초4동,0.88,781562352328,888139036736.3636
11650540,잠원동,1.76,323176784201,183623172841.4773
11650550,반포본동,1.01,6117151351,6056585496.039604
11650560,반포1동,1.0,326375931405,326375931405.0
11650570,반포2동,1.35,122082484542,90431470031.1111
11650580,반포3동,1.28,403692729333,315384944791.40625
11650581,반포4동,1.43,444040215301,310517633077.6224
